Company,TypeName,Inches,ScreenResolution,Ram,Gpu,OpSys,Weight,Cpu_speed,Cpu_mark,Memory_GB,Memory_kind,Price
Asus,Notebook,15.6,1366x768,8,Nvidia GeForce 940MX,Linux,2.3,2.5,Intel,1024.0,HDD,27864.9072
Acer,Notebook,15.6,1920x1080,4,Intel UHD Graphics 620,Windows 10,2.2,1.6,Intel,256.0,SSD,36336.96
Dell,2 in 1 Convertible,17.3,1920x1080,12,Nvidia GeForce 150MX,Windows 10,2.77,1.6,Intel,1024.0,HDD,53226.72
Apple,Ultrabook,13.3,2560x1600,8,Intel Iris Graphics 540,macOS,1.37,2.0,Intel,256.0,SSD,75604.32
Asus,Gaming,17.3,1920x1080,8,AMD Radeon RX 580,Windows 10,3.2,3.0,AMD,256.0,SSD,69210.72
Dell,Notebook,15.6,1920x1080,4,AMD Radeon R5 M430,Windows 10,2.3,2.5,Intel,256.0,SSD,34045.92
Asus,Notebook,17.3,1366x768,4,Nvidia GeForce 920MX,Windows 10,2.8,1.1,Intel,1024.0,HDD,24828.48
Acer,Notebook,15.6,1920x1080,8,Nvidia GeForce MX150,Windows 10,2.2,1.8,Intel,256.0,SSD,44808.48
HP,Notebook,15.6,1920x1080,4,AMD Radeon R4 Graphics,Windows 10,1.86,2.5,AMD,256.0,SSD,21231.5472
HP,Notebook,13.3,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.49,1.8,Intel,512.0,SSD,58767.84
Acer,Notebook,15.6,1366x768,4,Intel HD Graphics 620,Windows 10,2.4,2.4,Intel,1024.0,HDD,20459.52
Dell,Notebook,15.6,1920x1080,8,AMD Radeon 520,Windows 10,2.13,1.8,Intel,256.0,SSD,40908.384
HP,Notebook,15.6,1920x1080,4,Intel HD Graphics 520,Windows 10,1.91,2.0,Intel,128.0,SSD,23389.92
Asus,Notebook,15.6,1366x768,4,Intel HD Graphics 620,Windows 10,2.0,2.5,Intel,256.0,SSD,31232.2032
MSI,Gaming,17.3,1920x1080,16,Nvidia GeForce GTX 1070,Windows 10,2.43,2.8,Intel,256.0,SSD,130482.72
Asus,Notebook,15.6,1920x1080,4,Intel HD Graphics 520,Linux,2.0,2.0,Intel,256.0,SSD,22111.2
Dell,Notebook,17.3,1920x1080,16,AMD Radeon 530,Windows 10,2.8,1.8,Intel,256.0,SSD,69210.72
Dell,Ultrabook,14.0,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.7,1.6,Intel,256.0,SSD,46833.12
Lenovo,Notebook,14.0,1920x1080,8,Intel HD Graphics 620,No OS,1.7,2.7,Intel,256.0,SSD,31914.72
Asus,Notebook,14.0,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.4,1.6,Intel,256.0,SSD,50136.48
HP,Notebook,15.6,1920x1080,8,Intel HD Graphics 620,Windows 10,1.86,2.5,Intel,256.0,SSD,36763.2
Asus,Ultrabook,15.6,1920x1080,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,2.8,Intel,512.0,SSD,105654.24
HP,Notebook,15.6,1366x768,4,AMD Radeon 520,Windows 10,1.86,2.0,Intel,500.0,HDD,23373.4032
HP,Notebook,14.0,1366x768,4,Intel HD Graphics 400,Windows 10,1.44,1.6,Intel,32.0,SSD,12201.12
Lenovo,Notebook,15.6,1920x1080,4,Intel HD Graphics 620,Windows 10,1.9,2.5,Intel,1024.0,HDD,29250.72
Asus,Gaming,17.3,1920x1080,12,Nvidia GeForce GTX 1050 Ti,Linux,3.0,2.8,Intel,1024.0,HDD,50562.72
Microsoft,Ultrabook,13.5,2256x1504,4,Intel HD Graphics 620,Windows 10 S,1.252,2.5,Intel,128.0,SSD,58021.92
Dell,Ultrabook,13.3,1920x1080,64,AMD Radeon 530,Windows 10,1.4,1.8,Intel,256.0,SSD,50882.4
Dell,Notebook,15.6,1920x1080,8,AMD Radeon 530,Windows 10,2.2,1.8,Intel,256.0,SSD,46353.6
MSI,Gaming,17.3,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.7,2.5,Intel,128.0,SSD,58341.6
Acer,Notebook,14.0,1366x768,8,Intel HD Graphics 520,Windows 10,2.1,2.0,Intel,1024.0,HDD,20725.92
Asus,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.2,2.8,Intel,1024.0,HDD,50562.72
Lenovo,Notebook,15.6,1920x1080,8,Intel HD Graphics 620,No OS,2.2,2.5,Intel,2048.0,HDD,27652.32
Dell,Notebook,15.6,1920x1080,8,Intel UHD Graphics 620,Windows 10,2.02,1.8,Intel,128.0,SSD,45554.4
Acer,Notebook,15.6,1920x1080,4,Nvidia GeForce MX130,Windows 10,2.2,2.7,Intel,1024.0,HDD,28238.4
HP,Notebook,17.3,1920x1080,8,Nvidia GeForce 930MX,Windows 10,2.5,1.6,Intel,128.0,SSD,52054.56
Dell,Ultrabook,15.6,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.88,1.6,Intel,256.0,SSD,58403.4048
Apple,Ultrabook,12.0,2304x1440,8,Intel HD Graphics 615,macOS,0.92,1.3,Intel,512.0,SSD,80452.8
HP,Notebook,14.0,1920x1080,8,Intel HD Graphics 620,Windows 10,1.63,1.6,Intel,256.0,SSD,45820.8
Lenovo,Notebook,15.6,1920x1080,4,AMD R4 Graphics,Windows 10,2.2,2.5,AMD,128.0,SSD,21258.72
Acer,Notebook,15.6,1366x768,4,AMD Radeon R5,Windows 10,2.1,3.0,AMD,1024.0,HDD,21045.6
Dell,Gaming,15.6,1920x1080,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,2.8,Intel,128.0,SSD,71874.72
HP,Ultrabook,15.6,1920x1080,8,Nvidia GeForce GTX 940MX,Windows 10,1.83,1.8,Intel,256.0,SSD,37242.72
HP,Notebook,15.6,1920x1080,8,Intel HD Graphics 620,Windows 10,1.96,2.5,Intel,256.0,SSD,31914.1872
Asus,Gaming,15.6,1920x1080,16,Nvidia GeForce GTX 1060,Windows 10,2.2,2.8,Intel,128.0,SSD,77202.72
Dell,Ultrabook,13.3,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.21,1.8,Intel,256.0,SSD,87858.72
Asus,Gaming,15.6,1920x1080,8,AMD Radeon RX 560,Windows 10,2.45,3.0,AMD,1024.0,HDD,37242.72
Acer,Notebook,15.6,1920x1080,2,Nvidia GeForce MX150,Windows 10,2.2,1.8,Intel,1024.0,HDD,36709.92
HP,Notebook,13.3,1920x1080,16,Intel UHD Graphics 620,Windows 10,1.49,1.8,Intel,512.0,SSD,63776.16
Dell,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1060,Windows 10,2.65,2.5,Intel,256.0,SSD,63669.6
Asus,Ultrabook,14.0,1920x1080,8,Intel HD Graphics 620,Windows 10,1.25,2.7,Intel,256.0,SSD,55890.72
Acer,2 in 1 Convertible,13.3,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.5,1.6,Intel,256.0,SSD,45128.16
Dell,Notebook,15.6,1920x1080,8,AMD Radeon R5 M430,Linux,2.2,2.7,Intel,1024.0,HDD,31962.672
Dell,Notebook,15.6,1920x1080,4,AMD Radeon R5 M430,Linux,2.2,2.0,Intel,256.0,SSD,25840.8
Asus,Notebook,15.6,1920x1080,6,Nvidia GeForce 920M,Windows 10,2.0,2.4,Intel,256.0,SSD,30742.56
HP,Gaming,15.6,1920x1080,12,Nvidia GeForce GTX 1050,Windows 10,2.62,2.8,Intel,128.0,SSD,66546.72
HP,Notebook,15.6,1920x1080,8,AMD Radeon 530,Windows 10,1.91,2.7,Intel,256.0,SSD,38308.32
HP,Notebook,15.6,1920x1080,4,AMD Radeon R2,Windows 10,2.1,1.5,AMD,500.0,HDD,18594.72
Dell,Notebook,15.6,1920x1080,8,AMD Radeon 520,Linux,2.2,1.6,Intel,1024.0,HDD,34472.16
HP,Ultrabook,13.3,1920x1080,8,Nvidia GeForce MX150,Windows 10,1.38,2.7,Intel,256.0,SSD,59620.32
Microsoft,Ultrabook,13.5,2256x1504,8,Intel HD Graphics 620,Windows 10 S,1.252,2.5,Intel,256.0,SSD,71395.2
HP,Notebook,14.0,1920x1080,6,Nvidia GeForce 940MX,Windows 10,1.58,2.5,Intel,256.0,SSD,35111.52
Lenovo,Notebook,15.6,1920x1080,4,Intel HD Graphics 520,Windows 10,1.85,2.0,Intel,1024.0,HDD,22105.872
Asus,Ultrabook,14.0,1920x1080,8,Nvidia GeForce 940MX,Windows 10,1.3,2.7,Intel,256.0,SSD,63563.04
MSI,Gaming,15.6,1920x1080,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,2.8,Intel,256.0,SSD,69210.72
Lenovo,Notebook,14.0,1920x1080,8,Intel HD Graphics 620,Windows 10,1.58,2.7,Intel,256.0,SSD,78854.4
Asus,Ultrabook,15.6,1920x1080,16,Nvidia GeForce MX150,Windows 10,1.5,1.8,Intel,256.0,SSD,67239.36
Dell,Ultrabook,13.3,3200x1800,8,Intel Iris Plus Graphics 640,Windows 10,1.23,2.4,Intel,256.0,SSD,73473.12
Lenovo,2 in 1 Convertible,13.3,1920x1080,8,Intel HD Graphics 620,Windows 10,1.37,2.5,Intel,256.0,SSD,74538.72
HP,Notebook,14.0,1366x768,4,Intel UHD Graphics 620,Windows 10,1.63,1.6,Intel,500.0,HDD,38468.16
Dell,Ultrabook,13.3,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.21,1.6,Intel,256.0,SSD,86793.12
HP,Notebook,14.0,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.63,1.8,Intel,512.0,SSD,57755.52
Dell,Notebook,15.6,1920x1080,8,Nvidia GeForce 940MX,Windows 10,2.16,1.8,Intel,256.0,SSD,60223.9824
Asus,Notebook,17.3,1920x1080,4,Nvidia GeForce 920MX,Windows 10,2.0,2.0,Intel,1024.0,HDD,30049.92
Asus,Notebook,15.6,1920x1080,8,Nvidia GeForce 940MX,Windows 10,1.7,1.8,Intel,256.0,SSD,59567.04
Acer,Notebook,15.6,1920x1080,6,Intel HD Graphics 620,Windows 10,2.1,2.4,Intel,1024.0,HDD,25521.12
MSI,Gaming,15.6,1920x1080,16,Nvidia GeForce GTX 1070,Windows 10,1.8,2.8,Intel,256.0,SSD,119427.12
Lenovo,Notebook,15.6,1920x1080,8,Nvidia GeForce 940MX,No OS,2.2,2.5,Intel,256.0,SSD,33513.12
HP,Notebook,17.3,1920x1080,16,Nvidia GeForce 930MX ,Windows 10,2.5,1.8,Intel,512.0,SSD,67718.88
Acer,Notebook,15.6,1366x768,4,AMD Radeon R5,Windows 10,2.1,3.0,AMD,256.0,SSD,24029.28
HP,Notebook,14.0,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.63,1.6,Intel,1024.0,HDD,43263.36
Asus,Notebook,14.0,1366x768,4,AMD Radeon R2,Windows 10 S,1.65,1.5,AMD,64.0,SSD,14811.3072
Dell,Notebook,17.3,1920x1080,16,AMD Radeon 530,Windows 10,2.8,1.8,Intel,256.0,SSD,74378.88
HP,Notebook,17.3,1920x1080,8,Intel UHD Graphics 620,Windows 10,2.5,1.6,Intel,256.0,SSD,49443.84
Dell,Notebook,15.6,1366x768,8,AMD Radeon R7 M445,Windows 10,2.36,2.5,Intel,1024.0,HDD,34045.3872
Dell,Notebook,15.6,1920x1080,4,AMD Radeon R5 M430,Windows 10,2.2,2.0,Intel,1024.0,HDD,23922.72
Acer,Ultrabook,14.0,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.6,1.8,Intel,256.0,SSD,47099.52
Acer,Notebook,15.6,1920x1080,4,Nvidia GeForce MX130,Windows 10,7.2,2.7,Intel,256.0,SSD,30476.16
HP,Notebook,15.6,1366x768,8,Intel HD Graphics 620,Windows 10,2.05,2.7,Intel,1024.0,HDD,31861.44
HP,Notebook,14.0,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.63,1.8,Intel,256.0,SSD,52640.64
Lenovo,Notebook,15.6,1366x768,4,Intel HD Graphics 500,No OS,1.9,1.1,Intel,1024.0,HDD,13445.7408
Asus,Gaming,17.3,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,3.0,2.5,Intel,128.0,SSD,49976.64
Lenovo,Notebook,15.6,1920x1080,4,Nvidia GeForce 920MX,No OS,2.2,2.5,Intel,1024.0,HDD,26586.72
HP,Notebook,13.3,1920x1080,4,Intel HD Graphics 620,Windows 10,1.32,2.5,Intel,256.0,SSD,37242.72
Acer,Notebook,17.3,1920x1080,4,Nvidia GeForce MX130,Windows 10,3.0,2.7,Intel,1024.0,HDD,34898.4
Lenovo,Notebook,14.0,1920x1080,8,AMD Radeon RX 550,Windows 10,1.75,1.6,Intel,256.0,SSD,59461.5456
Lenovo,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1050M,No OS,2.4,2.8,Intel,256.0,SSD,46300.32
Toshiba,Notebook,15.6,1366x768,4,Intel HD Graphics 520,Windows 10,2.1,2.3,Intel,500.0,HDD,32074.56
HP,Notebook,15.6,1366x768,4,AMD Radeon R4 Graphics,Windows 10,1.86,2.5,AMD,256.0,SSD,19660.32
Asus,Ultrabook,14.0,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.25,1.8,Intel,256.0,SSD,58554.72
HP,Ultrabook,12.5,3840x2160,8,Intel HD Graphics 515,Windows 10,0.97,1.2,Intel,512.0,SSD,107305.92
Asus,Notebook,15.6,1920x1080,4,Intel HD Graphics 500,Windows 10,2.0,1.1,Intel,1024.0,HDD,18328.32
Acer,Notebook,15.6,1366x768,4,Intel HD Graphics 520,Windows 10,2.1,2.0,Intel,1024.0,HDD,23816.16
Dell,Gaming,15.6,1920x1080,16,Nvidia GeForce GTX 1050,Windows 10,2.56,2.8,Intel,512.0,SSD,66560.5728
Dell,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.62,2.8,Intel,1024.0,Hybrid,47898.72
Lenovo,Notebook,15.6,1366x768,4,Intel HD Graphics 620,Windows 10,1.9,2.5,Intel,128.0,SSD,26533.44
MSI,Gaming,17.3,1920x1080,16,Nvidia GeForce GTX 1060,Windows 10,2.8,2.8,Intel,256.0,SSD,100699.2
HP,Ultrabook,14.0,1920x1080,4,Intel HD Graphics 620,Windows 10,1.48,2.7,Intel,256.0,SSD,57648.96
HP,Notebook,15.6,1920x1080,6,AMD Radeon 520,Windows 10,1.91,1.6,Intel,256.0,SSD,32980.32
Lenovo,2 in 1 Convertible,14.0,1920x1080,4,Intel HD Graphics 620,Windows 10,1.74,2.4,Intel,256.0,SSD,33513.12
Asus,2 in 1 Convertible,13.3,1920x1080,8,Intel HD Graphics 620,Windows 10,1.1,1.6,Intel,256.0,SSD,70063.2
Dell,2 in 1 Convertible,15.6,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.56,1.8,Intel,256.0,SSD,55890.72
Toshiba,Notebook,15.6,1366x768,4,Intel HD Graphics 520,Windows 10,2.1,2.2,Intel,500.0,HDD,23816.16
Asus,Notebook,15.6,1366x768,4,AMD Radeon R5 M420,Windows 10,2.03,3.0,AMD,1024.0,HDD,21471.84
Acer,Notebook,17.3,1920x1080,4,Nvidia GeForce MX150,Windows 10,3.0,1.6,Intel,256.0,SSD,42890.4
Dell,Notebook,15.6,1920x1080,8,AMD Radeon 520,Windows 10,2.13,1.6,Intel,256.0,SSD,38787.84
Lenovo,Gaming,15.6,1920x1080,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,2.8,Intel,256.0,SSD,57489.12
Acer,Notebook,15.6,1366x768,4,Intel HD Graphics 500,Windows 10,2.1,1.1,Intel,1024.0,HDD,18541.44
MSI,Gaming,15.6,1920x1080,16,Nvidia GeForce GTX 1060,Windows 10,2.4,2.8,Intel,256.0,SSD,95850.72
Acer,Notebook,15.6,1366x768,4,Intel HD Graphics 505,Windows 10,2.1,1.1,Intel,1024.0,HDD,19367.8128
Dell,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.56,2.8,Intel,128.0,SSD,56502.9072
Acer,Notebook,17.3,1920x1080,8,Nvidia GeForce MX150,Windows 10,3.0,1.6,Intel,256.0,SSD,45501.12
HP,Notebook,13.3,1920x1080,4,Intel UHD Graphics 620,Windows 10,1.49,1.6,Intel,500.0,HDD,40173.12
Huawei,Ultrabook,13.0,2160x1440,8,Intel HD Graphics 620,Windows 10,1.05,2.5,Intel,256.0,SSD,71874.72
HP,Notebook,17.3,1920x1080,6,AMD Radeon 520,Windows 10,2.71,2.5,Intel,2048.0,HDD,37242.72
Lenovo,Notebook,15.6,1366x768,4,AMD Radeon R4 Graphics,No OS,2.2,2.9,AMD,500.0,HDD,16463.52
Toshiba,Notebook,15.6,1366x768,4,Intel HD Graphics 620,Windows 10,5.4,2.4,Intel,500.0,HDD,26053.92
HP,Notebook,17.3,1920x1080,8,Nvidia GeForce 930MX,Windows 10,2.5,1.6,Intel,256.0,SSD,49177.44
Dell,Notebook,15.6,1366x768,8,Intel HD Graphics 620,Windows 10,2.3,2.4,Intel,1024.0,HDD,24455.52
Acer,Notebook,15.6,1366x768,4,Intel HD Graphics 520,Windows 10,2.1,2.0,Intel,128.0,SSD,23922.72
MSI,Gaming,18.4,1920x1080,32,Nvidia GTX 980 SLI,Windows 10,4.4,2.9,Intel,512.0,SSD,149130.72
Lenovo,Notebook,15.6,1920x1080,8,AMD R17M-M1-70,Windows 10,1.9,2.5,Intel,128.0,SSD,43316.64
HP,2 in 1 Convertible,13.3,3840x2160,8,Intel UHD Graphics 620,Windows 10,1.29,1.6,Intel,256.0,SSD,79866.72
Dell,Notebook,15.6,1920x1080,16,AMD Radeon 530,Linux,2.02,1.8,Intel,256.0,SSD,55890.72
Dell,Ultrabook,13.3,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.23,1.6,Intel,256.0,SSD,74538.72
Lenovo,2 in 1 Convertible,13.9,3840x2160,16,Intel UHD Graphics 620,Windows 10,1.4,1.8,Intel,512.0,SSD,98514.72
Toshiba,Notebook,15.6,1366x768,8,Intel HD Graphics 620,Windows 10,2.0,2.5,Intel,128.0,SSD,42251.04
Xiaomi,Notebook,15.6,1920x1080,8,Nvidia GeForce MX150,No OS,1.95,1.6,Intel,256.0,SSD,63882.72
Dell,Notebook,17.3,1920x1080,16,Nvidia GeForce 150MX,Windows 10,2.77,1.8,Intel,512.0,SSD,82530.72
Dell,Notebook,15.6,3840x2160,16,Nvidia GeForce GTX 1050,Windows 10,2.06,2.8,Intel,512.0,SSD,127712.16
Lenovo,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1050,No OS,2.4,2.5,Intel,256.0,SSD,41505.12
Acer,Ultrabook,13.3,1920x1080,8,Intel HD Graphics 615,Windows 10,1.12,1.2,Intel,256.0,SSD,52693.92
Dell,Notebook,17.3,1920x1080,8,AMD Radeon 530,Windows 10,2.8,1.8,Intel,128.0,SSD,57808.8
Vero,Notebook,14.0,1920x1080,4,Intel HD Graphics 500,Windows 10,1.3,1.1,Intel,32.0,Flash,13852.8
Xiaomi,Ultrabook,13.3,1920x1080,8,Nvidia GeForce MX150,No OS,1.3,2.5,Intel,256.0,SSD,53274.672
Lenovo,Notebook,17.3,1600x900,8,Nvidia GeForce MX150,No OS,2.8,1.6,Intel,256.0,SSD,37189.44
Dell,2 in 1 Convertible,13.3,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.62,1.8,Intel,1024.0,HDD,44701.92
HP,Notebook,17.3,1920x1080,8,Nvidia GeForce 930MX,Windows 10,2.5,1.6,Intel,1024.0,HDD,48697.92
Razer,Gaming,17.3,3840x2160,32,Nvidia GeForce GTX 1080,Windows 10,3.49,2.9,Intel,1024.0,SSD,324954.72
HP,Notebook,13.3,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.49,1.6,Intel,512.0,SSD,51095.52
HP,Gaming,17.3,1920x1080,16,Nvidia GeForce GTX 1050,Windows 10,3.35,2.8,Intel,256.0,SSD,73473.12
HP,Notebook,17.3,1920x1080,8,Nvidia GeForce 930MX ,Windows 10,2.5,1.8,Intel,256.0,SSD,55677.6
Dell,Gaming,15.6,3840x2160,16,Nvidia GeForce GTX 1060,Windows 10,2.65,2.8,Intel,512.0,SSD,98301.6
Lenovo,Notebook,15.6,1366x768,4,Intel HD Graphics 520,Windows 10,2.1,2.3,Intel,128.0,SSD,26267.04
Acer,Notebook,15.6,1920x1080,8,Nvidia GeForce 940MX,Windows 10,2.23,2.7,Intel,1024.0,HDD,39533.76
Lenovo,Gaming,15.6,1920x1080,16,Nvidia GeForce GTX 1060,Windows 10,3.2,2.8,Intel,512.0,SSD,93186.72
Dell,Workstation,15.6,3840x2160,16,Nvidia Quadro M1200,Windows 10,2.8,3.0,Intel,256.0,SSD,162770.4
Lenovo,Gaming,15.6,1920x1080,16,Nvidia GeForce GTX 1060,No OS,2.4,2.8,Intel,512.0,SSD,74485.44
Dell,Notebook,15.6,1366x768,6,Intel HD Graphics 620,Windows 10,2.3,2.4,Intel,1024.0,HDD,23389.92
Dell,Ultrabook,13.3,3840x2160,8,Intel UHD Graphics 620,Windows 10,1.21,1.8,Intel,256.0,SSD,103842.72
Acer,Notebook,15.6,1920x1080,8,Nvidia GeForce GTX 1050,Linux,2.4,2.8,Intel,1024.0,HDD,41505.12
Asus,Gaming,17.3,1920x1080,16,Nvidia GeForce GTX 1050,Windows 10,2.9,2.8,Intel,256.0,SSD,74964.96
HP,Notebook,15.6,1920x1080,4,Intel HD Graphics 520,No OS,2.1,2.0,Intel,500.0,HDD,18594.72
Lenovo,Notebook,15.6,1920x1080,8,Intel HD Graphics 620,No OS,2.2,2.5,Intel,256.0,SSD,29250.72
Huawei,Ultrabook,13.0,2160x1440,8,Intel HD Graphics 620,Windows 10,1.05,2.7,Intel,512.0,SSD,79866.72
Dell,Ultrabook,13.3,1920x1080,8,AMD Radeon 530,Windows 10,1.4,1.8,Intel,256.0,SSD,49650.5664
Lenovo,Notebook,17.3,1600x900,8,Nvidia GeForce GTX 940MX,No OS,2.8,2.5,Intel,1024.0,HDD,31381.92
HP,Notebook,14.0,1920x1080,8,Nvidia GeForce 930MX,Windows 10,1.63,1.8,Intel,256.0,SSD,54931.68
Dell,Ultrabook,14.0,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.6,1.6,Intel,256.0,SSD,61218.72
